benchmark,machine,throughput_mibs,timestamp,commit
analysis/tokenize only (case sensitive),c4a-standard-16-lssd,235.67,2026-06-10T00:00:00Z,5f59e7d
analysis/+ lowercase,c4a-standard-16-lssd,193.11,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stopwords,c4a-standard-16-lssd,172.78,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stemming,c4a-standard-16-lssd,80.838,2026-06-10T00:00:00Z,5f59e7d
analysis/full pipeline,c4a-standard-16-lssd,81.069,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break,c4-standard-16-lssd,299.08,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break + word_like,c4-standard-16-lssd,294.61,2026-06-10T00:00:00Z,5f59e7d
wikipedia/sentence break,c4-standard-16-lssd,378.54,2026-06-10T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),c4-standard-16-lssd,244.48,2026-06-10T00:00:00Z,5f59e7d
analysis/+ lowercase,c4-standard-16-lssd,201.34,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stopwords,c4-standard-16-lssd,169.14,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stemming,c4-standard-16-lssd,83.691,2026-06-10T00:00:00Z,5f59e7d
analysis/full pipeline,c4-standard-16-lssd,80.436,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break,aws-c7a.4xlarge,307.36,2026-06-11T00:00:00Z,5f59e7d
wikipedia/word break + word_like,aws-c7a.4xlarge,311.05,2026-06-11T00:00:00Z,5f59e7d
wikipedia/sentence break,aws-c7a.4xlarge,368.27,2026-06-11T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),aws-c7a.4xlarge,244.27,2026-06-11T00:00:00Z,5f59e7d
analysis/+ lowercase,aws-c7a.4xlarge,190.72,2026-06-11T00:00:00Z,5f59e7d
analysis/+ stopwords,aws-c7a.4xlarge,163.68,2026-06-11T00:00:00Z,5f59e7d
analysis/+ stemming,aws-c7a.4xlarge,76.623,2026-06-11T00:00:00Z,5f59e7d
analysis/full pipeline,aws-c7a.4xlarge,74.325,2026-06-11T00:00:00Z,5f59e7d
wikipedia/word break,aws-c7g.4xlarge,267.59,2026-06-11T00:00:00Z,5f59e7d
wikipedia/word break + word_like,aws-c7g.4xlarge,254.68,2026-06-11T00:00:00Z,5f59e7d
wikipedia/sentence break,aws-c7g.4xlarge,277.85,2026-06-11T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),aws-c7g.4xlarge,186.34,2026-06-11T00:00:00Z,5f59e7d
analysis/+ lowercase,aws-c7g.4xlarge,152.11,2026-06-11T00:00:00Z,5f59e7d
analysis/+ stopwords,aws-c7g.4xlarge,136.80,2026-06-11T00:00:00Z,5f59e7d
analysis/+ stemming,aws-c7g.4xlarge,61.106,2026-06-11T00:00:00Z,5f59e7d
analysis/full pipeline,aws-c7g.4xlarge,59.619,2026-06-11T00:00:00Z,5f59e7d
wikipedia/word break,aws-c7i.4xlarge,258.15,2026-06-11T00:00:00Z,5f59e7d
wikipedia/word break + word_like,aws-c7i.4xlarge,255.42,2026-06-11T00:00:00Z,5f59e7d
wikipedia/sentence break,aws-c7i.4xlarge,327.29,2026-06-11T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),aws-c7i.4xlarge,209.75,2026-06-11T00:00:00Z,5f59e7d
analysis/+ lowercase,aws-c7i.4xlarge,171.36,2026-06-11T00:00:00Z,5f59e7d
analysis/+ stopwords,aws-c7i.4xlarge,145.50,2026-06-11T00:00:00Z,5f59e7d
analysis/+ stemming,aws-c7i.4xlarge,70.742,2026-06-11T00:00:00Z,5f59e7d
